	cas	c	h	o	dou	mp	roh	rcooh	rcor	rcoor	aromatic	lcc
0	514-10-3	20	30	2	5.0	173.5	0	0	0	0	0	20
1	21293-29-8	15	20	4	5.0	160	0	0	0	0	0	15
2	480-44-4	16	12	5	10.0	263	0	0	0	0	0	16
3	83-32-9	12	10	0	7.0	93	0	0	0	0	0	12
4	208-96-8	12	8	0	8.0	89.4	0	0	0	0	0	12
5	82-86-0	12	6	2	9.0	259	0	0	0	0	0	12
6	75-07-0	2	4	1	0.0	-123.4	0	0	0	0	0	2
7	64-19-7	2	4	2	0.0	17	0	0	0	0	0	2
8	108-24-7	4	6	3	1.0	-73.4	0	0	0	0	0	4
9	541-50-4	4	6	3	1.0	36.5	0	0	0	0	0	4
10	941-98-0	12	10	1	7.0	34	0	0	0	0	0	12
11	93-08-3	12	10	1	7.0	52	0	0	0	0	0	12
12	67-64-1	3	6	1	0.0	-94.9	0	0	0	0	0	3
13	98-86-2	8	8	1	4.0	19.4	0	0	0	0	0	8
14	100-06-1	9	10	2	4.0	38.2	0	0	0	0	0	9
15	577-56-0	9	8	3	5.0	114.5	0	0	0	0	0	9
16	586-42-5	9	8	3	5.0	172	0	0	0	0	0	9
17	586-89-0	9	8	3	5.0	208	0	0	0	0	0	9
18	644-31-5	9	8	4	5.0	37	0	0	0	0	0	9
19	874-23-7	8	12	2	2.0	-11	0	0	0	0	0	8
20	490-78-8	8	8	3	4.0	205.3	0	0	0	0	0	8
21	74-86-2	2	2	0	1.0	-81.5	0	0	0	0	0	2
22	520-45-6	8	8	4	4.0	109	0	0	0	0	0	8
23	50-78-2	9	8	4	5.0	136	0	0	0	0	0	9
24	2345-34-8	9	8	4	5.0	188.5	0	0	0	0	0	9
25	881-68-5	10	10	4	5.0	78	0	0	0	0	0	10
26	2243-35-8	10	10	3	5.0	49	0	0	0	0	0	10
27	107-02-8	3	4	1	1.0	-87.8	0	0	0	0	0	3
28	79-10-7	3	4	2	1.0	13.56	0	0	0	0	0	3
29	1162-65-8	17	12	6	11.0	268	0	0	0	0	0	17
30	7220-81-7	17	14	6	10.0	287.5	0	0	0	0	0	17
31	1165-39-5	17	12	7	11.0	245	0	0	0	0	0	17
32	546-43-0	15	20	2	5.0	76	0	0	0	0	0	15
33	52-39-1	21	28	5	7.0	166.5	0	0	0	0	0	21
34	23444-65-7	16	16	5	8.0	149	0	0	0	0	0	16
35	463-49-0	3	4	0	1.0	-136.4	0	0	0	0	0	3
36	566-02-9	21	32	4	5.0	190	0	0	0	0	0	21
