csid	mp	inchi	name	c	h	o	mol_wt	dou	Aromatic	OH	CO	CHO	COOH	COOR	ROR
7628	-92.95	InChI=1S/C5H8O2/c1-4(2)7-5(3)6/h1H2,2-3H3	isopropenyl acetate	5	8	2	100.11502	2.0	0	0	0	0	0	1	0
9478	-67.05	InChI=1S/C8H14O/c1-7(2)5-4-6-8(3)9/h5H,4,6H2,1-3H3	6-methyl-5-hepten-2-one	8	14	1	126.19575999999999	2.0	0	0	1	0	0	0	0
13864773	-65.05	InChI=1S/C5H10O3/c1-5(6)8-4-3-7-2/h3-4H2,1-2H3	2-methoxyethyl_acetate	5	10	3	118.1299	1.0	0	0	0	0	0	1	1
7515	-75.95	InChI=1S/C6H12O2/c1-3-5-8-6(7)4-2/h3-5H2,1-2H3	n-propyl propionate	6	12	2	116.15748	1.0	0	0	0	0	0	1	0
7782	-92.95	InChI=1S/C4H8O2/c1-2-3-6-4-5/h4H,2-3H2,1H3	n-propyl formate	4	8	2	88.10432	1.0	0	0	0	0	0	1	0
3218	186.05	InChI=1S/C16H14O3/c17-15(10-11-16(18)19)14-8-6-13(7-9-14)12-4-2-1-3-5-12/h1-9H,10-11H2,(H,18,19)	fenbufen	16	14	3	254.27936	10.0	1	0	1	0	1	0	0
6138	-111.97	InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3	propylene oxide	3	6	1	58.07874	1.0	0	0	0	0	0	0	1
7509	-66.03	InChI=1S/C9H18O2/c1-3-5-6-7-8-9(10)11-4-2/h3-8H2,1-2H3	ethyl heptanoate	9	18	2	158.23722	1.0	0	0	0	0	0	1	0
7728	-85.04	InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3	2-methoxyethanol	3	8	2	76.09362	0.0	0	1	0	0	0	0	1
6296	-8.03	InChI=1S/C9H14O/c1-7-4-8(10)6-9(2,3)5-7/h4H,5-6H2,1-3H3	isophorone	9	14	1	138.20646	3.0	0	0	1	0	0	0	0
21105987	-31.05	InChI=1S/C10H12O2/c1-9(11)12-8-7-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3	2-phenylethyl acetate	10	12	2	164.20028	5.0	1	0	0	0	0	1	0
21106102	-61.98	InChI=1S/C5H8O4/c1-8-4(6)3-5(7)9-2/h3H2,1-2H3	dimethyl malonate	5	8	4	132.11302	2.0	0	0	0	0	0	1	0
29015	11.87	InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2	1,4-dioxane	4	8	2	88.10432	1.0	0	0	0	0	0	0	1
13860335	-15.05	InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2	benzyl alcohol	7	8	1	108.13741999999999	4.0	1	1	0	0	0	0	0
6657	-6.9	InChI=1S/C10H14O/c1-10(2,3)8-6-4-5-7-9(8)11/h4-7,11H,1-3H3	2-tert-butylphenol	10	14	1	150.21716	4.0	1	1	0	0	0	0	0
20140	7.1	InChI=1S/C10H12O/c1-3-10(11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3	4'-methylpropiophenone	10	12	1	148.20128	5.0	1	0	1	0	0	0	0
7847	5.1	InChI=1S/C13H26O2/c1-3-4-5-6-7-8-9-10-11-12-13(14)15-2/h3-12H2,1-2H3	methyl dodecanoate	13	26	2	214.34353999999996	1.0	0	0	0	0	0	1	0
12450	-2.13	InChI=1S/C4H6O/c1-2-3-4-5/h5H,4H2,1H3	2-butyn-1-ol	4	6	1	70.08944	2.0	0	1	0	0	0	0	0
7747	-98.9	InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3	isobutyl acetate	6	12	2	116.15748	1.0	0	0	0	0	0	1	0
13854808	-113.1	InChI=1S/C4H10O2/c1-4(5-2)6-3/h4H,1-3H3	acetaldehyde dimethyl acetal	4	10	2	90.1202	0.0	0	0	0	0	0	0	1
7507	-73.1	InChI=1S/C9H18O2/c1-4-5-9(10)11-7-6-8(2)3/h8H,4-7H2,1-3H3	isopentyl butyrate	9	18	2	158.23722	1.0	0	0	0	0	0	1	0
10420	-91.1	InChI=1S/C7H14O2/c1-3-5-6-7(8)9-4-2/h3-6H2,1-2H3	ethyl valerate	7	14	2	130.18406	1.0	0	0	0	0	0	1	0
7065	-88.1	InChI=1S/C6H12O2/c1-4-8-6(7)5(2)3/h5H,4H2,1-3H3	ethyl isobutyrate	6	12	2	116.15748	1.0	0	0	0	0	0	1	0
10428	-73.1	InChI=1S/C9H18O2/c1-3-5-6-8-11-9(10)7-4-2/h3-8H2,1-2H3	pentyl_butyrate	9	18	2	158.23722	1.0	0	0	0	0	0	1	0
29000	-117.07	InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3	3-methyl-1-butanol	5	12	1	88.14778	0.0	0	1	0	0	0	0	0
8490	-71.05	InChI=1S/C5H8O2/c1-3-5(6)7-4-2/h3H,1,4H2,2H3	ethyl acrylate	5	8	2	100.11502	2.0	0	0	0	0	0	1	0
13837190	-104.95	InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3	dimethoxymethane	3	8	2	76.09362	0.0	0	0	0	0	0	0	1
66547	127.13	InChI=1S/C11H12O3/c12-10(7-4-8-11(13)14)9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H,13,14)	4-benzoylbutyric acid	11	12	3	192.20998000000003	6.0	1	0	1	0	1	0	0
10571	-84.85	InChI=1S/C5H10O2/c1-4(2)5(6)7-3/h4H,1-3H3	methyl isobutyrate	5	10	2	102.13090000000001	1.0	0	0	0	0	0	1	0
11790	-68.85	InChI=1S/C9H18O2/c1-3-5-6-7-9(10)11-8-4-2/h3-8H2,1-2H3	n-propyl hexanoate	9	18	2	158.23722	1.0	0	0	0	0	0	1	0
13850405	-51.1	InChI=1S/C9H10O2/c1-8(10)11-7-9-5-3-2-4-6-9/h2-6H,7H2,1H3	benzyl acetate	9	10	2	150.1737	5.0	1	0	0	0	0	1	0
224468	124.1	InChI=1S/C17H14O3/c1-2-14-16(13-5-3-4-6-15(13)20-14)17(19)11-7-9-12(18)10-8-11/h3-10,18H,2H2,1H3	benzarone	17	14	3	266.29006	11.0	1	1	1	0	0	0	0
7657	-99.1	InChI=1S/C7H14O2/c1-4-9-7(8)5-6(2)3/h6H,4-5H2,1-3H3	ethyl isovalerate	7	14	2	130.18406	1.0	0	0	0	0	0	1	0
7838	-43.08	InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3	heptanal	7	14	1	114.18506	1.0	0	0	0	1	0	0	0
