Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
51,"6-(Acetylamino)hexanoic acid","ε-Acetamidocaproic acid","C<sub>8</sub>H<sub>15</sub>NO<sub>3</sub>","57-08-9",1769466,"173.210","cry (ace)","104.5",,,,,,,,
52,"4-Acetylanisole",,"C<sub>9</sub>H<sub>10</sub>O<sub>2</sub>","100-06-1",742313,"150.174","pl (peth)","38.2(6)","254(12)",,"1.0818<sup>41</sup>","1.547<sup>41</sup>",,,"sl H<sub>2</sub>O; s EtOH, eth, ace, chl",
53,"2-Acetylbenzoic acid",,"C<sub>9</sub>H<sub>8</sub>O<sub>3</sub>","577-56-0",1210557,"164.158","nd (w), pr (bz)","114.5",,"111<sup>2</sup>",,,,,"vs H<sub>2</sub>O, eth, EtOH",
54,"3-Acetylbenzoic acid",,"C<sub>9</sub>H<sub>8</sub>O<sub>3</sub>","586-42-5",2207354,"164.158",,172,,"111<sup>2</sup>",,,,,"s H<sub>2</sub>O; msc EtOH",
55,"4-Acetylbenzoic acid",,"C<sub>9</sub>H<sub>8</sub>O<sub>3</sub>","586-89-0",2207355,"164.158","nd (w)",208,"subl",,,,,,"vs H<sub>2</sub>O",
56,"Acetyl benzoylperoxide","Acetozone","C<sub>9</sub>H<sub>8</sub>O<sub>4</sub>","644-31-5",1911081,"180.158","wh nd (lig)",37,,"130<sup>19</sup>",,,,,"vs eth",
57,"Acetyl bromide","Ethanoyl bromide","C<sub>2</sub>H<sub>3</sub>BrO","506-96-7",1697546,"122.948","liq","-96.5(5)","74(1)",,"1.6625<sup>16</sup>","1.4486<sup>20</sup>",,"16.2","msc eth, bz, chl; s ace",
58,"Acetyl chloride","Ethanoyl chloride","C<sub>2</sub>H<sub>3</sub>ClO","75-36-5",605303,"78.497","liq","-112.7(8)","51(2)",,"1.1051<sup>20</sup>","1.3886<sup>20</sup>",,"38.4","msc eth, ace, bz, chl; s ctc",
59,"Acetylcholine bromide",,"C<sub>7</sub>H<sub>16</sub>BrNO<sub>2</sub>","66-23-9",3572117,"226.112","hyg cry",146,,,,,,,"vs H<sub>2</sub>O",
60,"Acetylcholine chloride",,"C<sub>7</sub>H<sub>16</sub>ClNO<sub>2</sub>","60-31-1",3571875,"181.661",,150,,,,,,,"s H<sub>2</sub>O, EtOH; i eth",
61,"Acetylcholine iodide",,"C<sub>7</sub>H<sub>16</sub>INO<sub>2</sub>","2260-50-6",3571339,"273.112","hyg",163,,,,,,,,
62,"2-Acetylcyclohexanone",,"C<sub>8</sub>H<sub>12</sub>O<sub>2</sub>","874-23-7",1858621,"140.180",,"-11",,"112<sup>18</sup>, 101<sup>14</sup>","1.0782<sup>25</sup>","1.5138<sup>20</sup>",,,"s ctc",
63,"2-Acetylcyclopentanone",,"C<sub>7</sub>H<sub>10</sub>O<sub>2</sub>","1670-46-8",1857601,"126.153",,,,"73<sup>20</sup>","1.0431<sup>25</sup>","1.4906<sup>20</sup>",,,,
64,"<i>N</i>-Acetyl-<small>L</small>-cysteine","2-Acetamido-3-mercaptopropanoic acid","C<sub>5</sub>H<sub>9</sub>NO<sub>3</sub>S","616-91-1",1724426,"163.195","cry (w)","109.5",,,,,,,,
65,"3-Acetyldihydro-2(3<i>H</i>)-furanone","α-Acetylbutyrolactone","C<sub>6</sub>H<sub>8</sub>O<sub>3</sub>","517-23-7",112676,"128.126",,,,"107<sup>5</sup>","1.1846<sup>20</sup>","1.4585<sup>20</sup>",,,"vs H<sub>2</sub>O",
66,"1-Acetyl-2,5-dihydroxybenzene","2,5-Dihydroxyacetophenone","C<sub>8</sub>H<sub>8</sub>O<sub>3</sub>","490-78-8",637903,"152.148","ye grn nd (dil al or w)","205.3",,,,,,,"sl H<sub>2</sub>O, eth, bz; s EtOH",
67,"Acetylene","Ethyne","C<sub>2</sub>H<sub>2</sub>","74-86-2",906677,"26.037","col gas","-81.5(9)","-84.7 sp",,"0.377<sup>25</sup> (p>1 atm)",,"1.08<sup>25</sup>",,"sl H<sub>2</sub>O, EtOH, CS<sub>2</sub>; s ace, bz, chl",
68,"<i>N</i>-Acetylethanolamine",,"C<sub>4</sub>H<sub>9</sub>NO<sub>2</sub>","142-26-7",1811708,"103.120",,"63.5",,"166<sup>8</sup>","1.1079<sup>25</sup>","1.4674<sup>20</sup>",,,"msc H<sub>2</sub>O; s ace; sl bz, lig",
69,"Acetyl fluoride","Ethanoyl fluoride","C<sub>2</sub>H<sub>3</sub>FO","557-99-3",1733308,"62.042","vol liq or gas","-84","22(7)",,"1.032<sup>25</sup>",,,117,"msc EtOH, eth; s bz, chl; sl CS<sub>2</sub>",
70,"<i>N</i>-Acetylglutamic acid",,"C<sub>7</sub>H<sub>11</sub>NO<sub>5</sub>","1188-37-0",1727473,"189.166","pr (w)",199,,,,,,,"s H<sub>2</sub>O, EtOH",
71,"<i>N</i>-Acetylglycine","Aceturic acid","C<sub>4</sub>H<sub>7</sub>NO<sub>3</sub>","543-24-8",774114,"117.104","lo nd (w, MeOH)",206,,,,,,,"vs H<sub>2</sub>O, ace, EtOH",
72,"<i>trans</i>-1-Acetyl-4-hydroxy-<small>L</small>-proline","Oxaceprol","C<sub>7</sub>H<sub>11</sub>NO<sub>4</sub>","33996-33-7",84043,"173.167","cry (Ac)",132,,,,,,,"vs H<sub>2</sub>O, MeOH",
73,"1-Acetyl-1<i>H</i>-imidazole",,"C<sub>5</sub>H<sub>6</sub>N<sub>2</sub>O","2466-76-4",108425,"110.114",,"104.5",,,,,,,"sl H<sub>2</sub>O; s EtOH, eth, chl, THF",
74,"Acetyl iodide","Ethanoyl iodide","C<sub>2</sub>H<sub>3</sub>IO","507-02-8",1733780,"169.948",,,"109(5)",,"2.0673<sup>20</sup>","1.5491<sup>20</sup>",,"4.32","vs eth",
75,"Acetyl isothiocyanate",,"C<sub>3</sub>H<sub>3</sub>NOS","13250-46-9",635801,"101.127",,,"132.5",,"1.1523<sup>13</sup>","1.5231<sup>18</sup>",,,"s eth, CS<sub>2</sub>",
76,"<i>N</i><sup>6</sup>-Acetyl-<small>L</small>-lysine",,"C<sub>8</sub>H<sub>16</sub>N<sub>2</sub>O<sub>3</sub>","692-04-6",1725438,"188.224",,"265 dec",,,,,,,,
77,"<i>N</i>-Acetyl-<small>DL</small>-methionine",,"C<sub>7</sub>H<sub>13</sub>NO<sub>3</sub>S","1115-47-5",1725554,"191.248",,"114.5",,,,,,,,
78,"<i>N</i>-Acetyl-<small>L</small>-methionine","Methionamine","C<sub>7</sub>H<sub>13</sub>NO<sub>3</sub>S","65-82-7",1725552,"191.248",,"105.5",,,,,,,,
79,"1-Acetyl-17-methoxyaspidospermidine","Aspidospermine","C<sub>22</sub>H<sub>30</sub>N<sub>2</sub>O<sub>2</sub>","466-49-9",48882,"354.485","nd or pr (al) nd (peth)",208,,"220<sup>2</sup>",,,,,"sl H<sub>2</sub>O, eth; s EtOH, bz, chl",
80,"<i>N</i>-Acetyl-<i>N</i>-methylacetamide",,"C<sub>5</sub>H<sub>9</sub>NO<sub>2</sub>","1113-68-4",605869,"115.131","liq","-25",195,"114.5<sup>61</sup>","1.0663<sup>25</sup>","1.4502<sup>25</sup>",,,"msc H<sub>2</sub>O; i eth",
81,"1-Acetyl-3-methylpiperidine",,"C<sub>8</sub>H<sub>15</sub>NO","4593-16-2",1306369,"141.211","liq","-13.6",239,,"0.9684<sup>25</sup>","1.4731<sup>25</sup>",,,"vs H<sub>2</sub>O",
82,"3-Acetyl-6-methyl-2<i>H</i>-pyran-2,4(3<i>H</i>)-dione","Dehydroacetic acid","C<sub>8</sub>H<sub>8</sub>O<sub>4</sub>","520-45-6",6129,"168.148",,109,270,,,,,,"vs H<sub>2</sub>O, eth; sl EtOH, chl",
83,"4-Acetylmorpholine",,"C<sub>6</sub>H<sub>11</sub>NO<sub>2</sub>","1696-20-4",111971,"129.157",,"14.5",,"152<sup>50</sup>, 118<sup>12</sup>","1.1145<sup>20</sup>","1.4827<sup>20</sup>",,,"msc H<sub>2</sub>O; s EtOH, ace, ctc",
84,"<i>N</i>-Acetylneuraminic acid","Aceneuramic acid","C<sub>11</sub>H<sub>19</sub>NO<sub>9</sub>","131-48-6",,"309.271",,186,,,,,,,,
85,"Acetyl nitrate",,"C<sub>2</sub>H<sub>3</sub>NO<sub>4</sub>","591-09-3",1751232,"105.050",,,"60 exp","22<sup>70</sup>","1.24<sup>15</sup>",,,,,
86,"2-(Acetyloxy)benzoic acid","Acetylsalicylic acid","C<sub>9</sub>H<sub>8</sub>O<sub>4</sub>","50-78-2",779271,"180.158","nd (w), mcl tab (w)","136(4)",,,,,,,"s H<sub>2</sub>O, eth, chl; vs EtOH; sl bz",
87,"4-(Acetyloxy)benzoic acid",,"C<sub>9</sub>H<sub>8</sub>O<sub>4</sub>","2345-34-8",1871997,"180.158",,"188.5",,,,,,,,
88,"2-(Acetyloxy)-5-bromobenzoic acid","5-Bromoacetylsalicylic acid","C<sub>9</sub>H<sub>7</sub>BrO<sub>4</sub>","1503-53-3",2695058,"259.054","nd (al)",60,,,,,,,"i H<sub>2</sub>O; vs EtOH, eth",
