Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
951,"Bis(2-cyanoethyl) ether",,"C<sub>6</sub>H<sub>8</sub>N<sub>2</sub>O","1656-48-0",1746454,"124.140",,,,"161<sup>5</sup>, 111<sup>0.5</sup>","1.0504<sup>20</sup>","1.4405<sup>20</sup>",,,,
952,"Bis(2-cyanoethyl) sulfide",,"C<sub>6</sub>H<sub>8</sub>N<sub>2</sub>S","111-97-7",1701139,"140.206",,,,"163<sup>1.5</sup>",,"1.5047<sup>20</sup>",,,,
953,"1,2-Bis(dibromomethyl)benzene",,"C<sub>8</sub>H<sub>6</sub>Br<sub>4</sub>","13209-15-9",2211698,"421.750","mcl","116.5",,,,,,,"sl H<sub>2</sub>O; vs chl; i lig",
954,"Bis(2,4-dichlorobenzoyl) peroxide",,"C<sub>14</sub>H<sub>6</sub>Cl<sub>4</sub>O<sub>4</sub>","133-14-2",2008711,"380.008",,106,,,,,,,,
955,"1,3-Bis(dichloromethyl)tetramethyldisiloxane",,"C<sub>6</sub>H<sub>14</sub>Cl<sub>4</sub>OSi<sub>2</sub>","2943-70-6",1762720,"300.157",,,,"149<sup>50</sup>, 117<sup>11</sup>","1.2213<sup>20</sup>","1.4660<sup>20</sup>",,,,
956,"Bis(2,4-dichlorophenyl)ether","2,2',4,4'-Tetrachlorodiphenyl ether","C<sub>12</sub>H<sub>6</sub>Cl<sub>4</sub>O","28076-73-5",,"307.987","cry (eth)",71,,,,,,,,
957,"4,4'-Bis(diethylamino)benzophenone","Michler's ethyl ketone","C<sub>21</sub>H<sub>28</sub>N<sub>2</sub>O","90-93-7",2148611,"324.459","lf (al)","95.3",,,,,,,,
958,"Bis(diethyldithiocarbamate)nickel",,"C<sub>10</sub>H<sub>20</sub>N<sub>2</sub>NiS<sub>4</sub>","14267-17-5",,"355.232",,,,"202<sup>0.02</sup>",,,,,,
959,"Bis(diethyldithiocarbamate)zinc",,"C<sub>10</sub>H<sub>20</sub>N<sub>2</sub>S<sub>4</sub>Zn","14324-55-1",,"361.948",,,,"178<sup>0.05</sup>",,,,,,
960,"Bis(difluoromethyl) ether","HFE-134","C<sub>2</sub>H<sub>2</sub>F<sub>4</sub>O","1691-17-4",,"118.030","col gas",,"5.5(4)",,"1.43<sup>20</sup>",,,,,
961,"Bis(2-dimethylaminoethyl) ether","2,2'-Oxybis[<i>N,N</i>-dimethylethanamine]","C<sub>8</sub>H<sub>20</sub>N<sub>2</sub>O","3033-62-3",,"160.257","liq",,,"80<sup>15</sup>",,,,,,
962,"Bis[4-(dimethylamino)phenyl]methane","Michler's Base","C<sub>17</sub>H<sub>22</sub>N<sub>2</sub>","101-61-1",479956,"254.370","pl or tab (al, lig)","91.5","390 dec","183<sup>3</sup>",,,,,"i H<sub>2</sub>O; sl EtOH; vs eth, bz; s acid",
963,"Bis[4-(dimethylamino)phenyl]methanethione","4,4'-Bis(dimethylamino)thiobenzophenone","C<sub>17</sub>H<sub>20</sub>N<sub>2</sub>S","1226-46-6",2215339,"284.419","pl",204,,,,,,,"i H<sub>2</sub>O, EtOH, lig; sl eth; s bz, chl, HOAc",
964,"Bis(4-dimethylaminophenyl)methanol","4,4'-Bis(dimethylamino)benzhydrol","C<sub>17</sub>H<sub>22</sub>N<sub>2</sub>O","119-58-4",2131843,"270.369",,"102.0",,,,,,,"i H<sub>2</sub>O; vs EtOH; s eth, bz, HOAc",
965,"1,3-Bis(dimethylamino)-2-propanol",,"C<sub>7</sub>H<sub>18</sub>N<sub>2</sub>O","5966-51-8",1446002,"146.230",,,"181.5",,"0.8788<sup>20</sup>","1.4418<sup>20</sup>",,,"vs H<sub>2</sub>O",
966,"4,4'-Bis(dimethylamino)triphenylmethane",,"C<sub>23</sub>H<sub>26</sub>N<sub>2</sub>","129-73-7",2140506,"330.465","nd or lf (al, bz)",102,,,,,,,"vs bz, eth",
967,"Bis(dimethyldithiocarbamate)copper",,"C<sub>6</sub>H<sub>12</sub>CuN<sub>2</sub>S<sub>4</sub>","137-29-1",,"303.978",,,,"206<sup>0.01</sup>",,,,,,
968,"Bis(dimethyldithiocarbamate)nickel",,"C<sub>6</sub>H<sub>12</sub>N<sub>2</sub>NiS<sub>4</sub>","15521-65-0",,"299.125",,,,"208<sup>0.002</sup>",,,,,,
969,"2,5-Bis(1,1-dimethylpropyl)-1,4-benzenediol","2,5-Di-<i>tert</i>-pentylhydroquinone","C<sub>16</sub>H<sub>26</sub>O<sub>2</sub>","79-74-3",2214556,"250.376",,180,,,,,,,,
970,"2,4-Bis(1,1-dimethylpropyl)phenol",,"C<sub>16</sub>H<sub>26</sub>O","120-95-6",2370274,"234.376",,"26.0",,"169<sup>22</sup>",,,,,,
971,"1,2-Bis(diphenylphosphino)ethane","Diphos","C<sub>26</sub>H<sub>24</sub>P<sub>2</sub>","1663-45-2",761261,"398.417",,"143.5",,,,,,,,
972,"1,3-Bis(2,3-epoxypropoxy)benzene","Diglycidyl resorcinol ether","C<sub>12</sub>H<sub>14</sub>O<sub>4</sub>","101-90-6",203671,"222.237",,"42.5",,"147<sup>0.4</sup>","1.2183<sup>30</sup>","1.5408<sup>20</sup>",,,,
973,"Bis(2-ethoxyethyl) phthalate",,"C<sub>16</sub>H<sub>22</sub>O<sub>6</sub>","605-54-9",3380810,"310.342",,34,345,,"1.1229<sup>21</sup>",,,,,
974,"Bis(ethoxymethyl) ether",,"C<sub>6</sub>H<sub>14</sub>O<sub>3</sub>","5648-29-3",,"134.173",,,"136(10)",,,,,,,
975,"<i>N,N'</i>-Bis(4-ethoxyphenyl)ethanimidamide monohydrochloride","Phenacaine hydrochloride","C<sub>18</sub>H<sub>23</sub>ClN<sub>2</sub>O<sub>2</sub>","620-99-5",3919832,"334.841","cry (w+1)",191,,,,,,,"vs H<sub>2</sub>O, EtOH, chl",
976,"Bis(ethylenediamine)copper dichloride","Cupriethylenediamine dichloride","C<sub>4</sub>H<sub>16</sub>Cl<sub>2</sub>CuN<sub>4</sub>","15243-01-3",,"254.649","dk bl cry",,,,,,,,"s EtOH",
977,"Bis(2-ethylhexyl)amine",,"C<sub>16</sub>H<sub>35</sub>N","106-20-7",1748342,"241.456",,,,"161<sup>21</sup>",,,,,,
978,"Bis(2-ethylhexyl) azelate",,"C<sub>25</sub>H<sub>48</sub>O<sub>4</sub>","103-24-2",1806182,"412.647",,"-78",,"237<sup>5</sup>","0.915<sup>25</sup>","1.446<sup>25</sup>",,,"i H<sub>2</sub>O; s EtOH, ace, bz; sl ctc",
979,"Bis(2-ethylhexyl) ether","2,2'-Diethyldihexyl ether","C<sub>16</sub>H<sub>34</sub>O","10143-60-9",1748359,"242.440",,,"279(8)","144<sup>13</sup>",,"1.4325<sup>20</sup>",,,"sl ctc",
980,"Bis(2-ethylhexyl) hexanedioate","Bis(2-ethylhexyl) adipate","C<sub>22</sub>H<sub>42</sub>O<sub>4</sub>","103-23-1",1803774,"370.566",,"-67.8",,"214<sup>5</sup>","0.922<sup>25</sup>","1.4474<sup>20</sup>",,,"vs ace, eth, EtOH",
981,"Bis(2-ethylhexyl) phosphate",,"C<sub>16</sub>H<sub>35</sub>O<sub>4</sub>P","298-07-7",,"322.420","visc liq",,,"155<sup>0.015</sup>","0.975<sup>25</sup>",,,,"sl H<sub>2</sub>O; s bz, hx",
982,"Bis(2-ethylhexyl) phosphonate","Bis(2-ethylhexyl) phosphite","C<sub>16</sub>H<sub>35</sub>O<sub>3</sub>P","3658-48-8",1711893,"306.421","liq",,,"150<sup>1</sup>","0.93<sup>25</sup>","1.4420<sup>20</sup>",,,,
983,"Bis(2-ethylhexyl) phosphorodithioate",,"C<sub>16</sub>H<sub>35</sub>O<sub>2</sub>PS<sub>2</sub>","5810-88-8",,"354.552","cry",,,,,,,,"s bz, hp, chl",
984,"Bis(2-ethylhexyl) phthalate","Di-<i>sec</i>-octyl phthalate","C<sub>24</sub>H<sub>38</sub>O<sub>4</sub>","117-81-7",1890696,"390.557","liq","-55",384,,"0.981<sup>25</sup>","1.4853<sup>20</sup>","0.00027<sup>25</sup>","0.00000005","sl ctc",
985,"Bis(2-ethylhexyl) sebacate",,"C<sub>26</sub>H<sub>50</sub>O<sub>4</sub>","122-62-3",1806504,"426.673",,"-55(1)",,"256<sup>5</sup>","0.912<sup>25</sup>","1.451<sup>25</sup>",,,"vs ace, bz, EtOH",
986,"Bis(2-ethylhexyl) sodium sulfosuccinate","Docusate sodium","C<sub>20</sub>H<sub>37</sub>NaO<sub>7</sub>S","577-11-7",,"444.559","waxy solid",155,"dec",,"1.1<sup>25</sup>",,,,"s peth, ctc, eth, ace",
987,"Bis(2-ethylhexyl) terephthalate",,"C<sub>24</sub>H<sub>38</sub>O<sub>4</sub>","6422-86-2",,"390.557",,,383,,,,,,,
988,"2,2-Bis(ethylsulfonyl)butane","Sulfonethylmethane","C<sub>8</sub>H<sub>18</sub>O<sub>4</sub>S<sub>2</sub>","76-20-0",1785184,"242.357","pl (w)",76,"dec",,"1.199<sup>85</sup>",,,,"s chl",
989,"Bis[4-(hexyloxy)phenyl]diazene, 1-oxide",,"C<sub>24</sub>H<sub>34</sub>N<sub>2</sub>O<sub>3</sub>","2587-42-0",964012,"398.538",,,,,,,,,"s chl",
990,"<i>N,N'</i>-Bis(2-hydroxybenzylidene)-1,2-ethylenediamine","Disalicylidene-1,2-ethanediamine","C<sub>16</sub>H<sub>16</sub>N<sub>2</sub>O<sub>2</sub>","94-93-9",535296,"268.310",,"125.5",,,,,,,"sl EtOH, eth; s bz, chl",
991,"Bis(2-hydroxy-3-<i>tert</i>-butyl-5-methylphenyl)methane",,"C<sub>23</sub>H<sub>32</sub>O<sub>2</sub>","119-47-1",,"340.499","nd (peth)",131,,,,,,,,
992,"Bis(2-hydroxy-5-chlorophenyl) sulfide","Fenticlor","C<sub>12</sub>H<sub>8</sub>Cl<sub>2</sub>O<sub>2</sub>S","97-24-5",2057140,"287.162",,174,,,,,,,"i H<sub>2</sub>O; s EtOH, eth, gl HOAc",
993,"2-[Bis(2-hydroxyethyl)amino]ethanol hydrochloride","Triethanolamine hydrochloride","C<sub>6</sub>H<sub>16</sub>ClNO<sub>3</sub>","637-39-8",3909940,"185.649","cry (al)","179.5",,,,,,,"vs H<sub>2</sub>O",
994,"<i>N,N</i>-Bis(2-hydroxyethyl)butylamine","Butylbis(2-hydroxyethyl)amine","C<sub>8</sub>H<sub>19</sub>NO<sub>2</sub>","102-79-4",1739642,"161.243",,,"279(19)","80<sup>35</sup>","0.9681<sup>20</sup>","1.4625<sup>20</sup>",,,"s chl",
995,"Bis(2-hydroxyethyl) disulfide",,"C<sub>4</sub>H<sub>10</sub>O<sub>2</sub>S<sub>2</sub>","1892-29-1",1735851,"154.251",,26,,"160<sup>3.5</sup>",,,,,,
996,"<i>N,N</i>-Bis(2-hydroxyethyl)dodecanamide",,"C<sub>16</sub>H<sub>33</sub>NO<sub>3</sub>","120-40-1",,"287.438","waxy solid","38.7",,,,,,,,
997,"<i>N,N</i>-Bis(2-hydroxyethyl)ethylamine","<i>N</i>-Ethyldiethanolamine","C<sub>6</sub>H<sub>15</sub>NO<sub>2</sub>","139-87-7",1735791,"133.189","ye liq","-50","248(19)",,"1.0135<sup>20</sup>","1.4663<sup>20</sup>",,,"vs H<sub>2</sub>O, EtOH; sl eth",
998,"<i>N,N'</i>-Bis(2-hydroxyethyl)ethylenediamine",,"C<sub>6</sub>H<sub>16</sub>N<sub>2</sub>O<sub>2</sub>","4439-20-7",1739453,"148.203",,"100.1(5)",,"136<sup>1</sup>",,,,,"s H<sub>2</sub>O",
999,"<i>N,N</i>-Bis(2-hydroxyethyl)glycine","Bicine","C<sub>6</sub>H<sub>13</sub>NO<sub>4</sub>","150-25-4",1769362,"163.172","nd (al)","194 dec",,,,,,,"vs H<sub>2</sub>O; i EtOH",
1000,"Bis(2-hydroxyethyl)methylamine","Methyldiethanolamine","C<sub>5</sub>H<sub>13</sub>NO<sub>2</sub>","105-59-9",1734441,"119.163","liq","-21","245(1)",,"1.043<sup>25</sup>","1.4685<sup>20</sup>",,,"vs H<sub>2</sub>O",
