Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
901,"Bis(2-aminoethyl)amine","Diethylenetriamine","C<sub>4</sub>H<sub>13</sub>N<sub>3</sub>","111-40-0",605314,"103.166","ye hyg liq","-39","206.5(3)",,"0.9569<sup>20</sup>","1.4810<sup>25</sup>",,"0.03","msc H<sub>2</sub>O, EtOH; i eth; s lig",
902,"<i>N,N'</i>-Bis(2-aminoethyl)-1,2-ethanediamine","Triethylenetetramine","C<sub>6</sub>H<sub>18</sub>N<sub>4</sub>","112-24-3",605448,"146.234","oil",12,"266.5",,,"1.4971<sup>20</sup>",,,"s H<sub>2</sub>O, EtOH, acid",
903,"Bis(2-aminophenyl)disulfide",,"C<sub>12</sub>H<sub>12</sub>N<sub>2</sub>S<sub>2</sub>","1141-88-4",914032,"248.366",,93,,,,,,,"i H<sub>2</sub>O; vs EtOH, eth",
904,"Bis(4-aminophenyl)disulfide",,"C<sub>12</sub>H<sub>12</sub>N<sub>2</sub>S<sub>2</sub>","722-27-0",1247117,"248.366",,85,,,,,,,"s H<sub>2</sub>O; vs EtOH, eth, chl; sl bz, lig",
905,"1,2-Bis(4-aminophenyl)ethane",,"C<sub>14</sub>H<sub>16</sub>N<sub>2</sub>","621-95-4",394999,"212.290","pl (w)",137,"subl",,,,,,"i H<sub>2</sub>O; vs EtOH",
906,"Bis(3-aminophenyl) sulfone","3,3'-Sulfonyldianiline","C<sub>12</sub>H<sub>12</sub>N<sub>2</sub>O<sub>2</sub>S","599-61-1",2215938,"248.300",,"168.5",,,,,,,"vs H<sub>2</sub>O, EtOH",
907,"Bis(4-aminophenyl) sulfone","Dapsone","C<sub>12</sub>H<sub>12</sub>N<sub>2</sub>O<sub>2</sub>S","80-08-0",788055,"248.300","cry (95% al)","178(1)",,,,,"0.16<sup>25</sup>",,"s EtOH; sl DMSO",
908,"Bis(4-aminophenyl) sulfoxide","4,4'-Sulfinyldianiline","C<sub>12</sub>H<sub>12</sub>N<sub>2</sub>OS","119-59-5",1964647,"232.300","pr (w, al)","175 dec",,,,,,,"s H<sub>2</sub>O, EtOH",
909,"1,4-Bis(3-aminopropoxy)butane","1,4-Butanediol bis(3-aminopropyl) ether","C<sub>10</sub>H<sub>24</sub>N<sub>2</sub>O<sub>2</sub>","7300-34-7",1750788,"204.310","liq",,,"135<sup>3</sup>","0.96<sup>20</sup>","1.4619<sup>20</sup>",,,,
910,"<i>N,N'</i>-Bis(3-aminopropyl)-1,4-butanediamine","Spermine","C<sub>10</sub>H<sub>26</sub>N<sub>4</sub>","71-44-3",1750791,"202.340",,29,,"150<sup>5</sup>",,,,,,
911,"<i>N,N'</i>-Bis(3-aminopropyl)-1,4-butanediamine, tetrahydrochloride",,"C<sub>10</sub>H<sub>30</sub>Cl<sub>4</sub>N<sub>4</sub>","306-67-2",3911771,"348.184",,"301.5",,,,,,,"s H<sub>2</sub>O",
912,"Bis(2-bromoethyl) ether","Bromex","C<sub>4</sub>H<sub>8</sub>Br<sub>2</sub>O","5414-19-7",1098335,"231.914",,,,"115<sup>32</sup>, 92<sup>12</sup>","1.8452<sup>20</sup>","1.5131<sup>27</sup>",,,,
913,"1,2-Bis(bromomethyl)benzene",,"C<sub>8</sub>H<sub>8</sub>Br<sub>2</sub>","91-13-4",637159,"263.958","orth (chl)","95(1)",,"129<sup>4.5</sup>","1.988<sup>25</sup>",,,,"i H<sub>2</sub>O; s EtOH, eth, ctc, chl, peth, lig",
914,"1,3-Bis(bromomethyl)benzene",,"C<sub>8</sub>H<sub>8</sub>Br<sub>2</sub>","626-15-3",971085,"263.958","nd (chl), pr (ace)","77(1)",,"137<sup>20</sup>","1.959<sup>25</sup>",,,,"i H<sub>2</sub>O; s EtOH, eth, chl, lig",
915,"1,4-Bis(bromomethyl)benzene",,"C<sub>8</sub>H<sub>8</sub>Br<sub>2</sub>","623-24-5",1100019,"263.958","mcl pr (al), cry (chl, bz)","144.5",245,,"2.012<sup>25</sup>",,,,"i H<sub>2</sub>O; vs EtOH, chl; sl eth; s bz",
916,"2,2-Bis(bromomethyl)-1,3-propanediol","Pentaerythritol dibromide","C<sub>5</sub>H<sub>10</sub>Br<sub>2</sub>O<sub>2</sub>","3296-90-0",,"261.940","nd (bz)",113,,,,,,,,
917,"1,3-Bis(bromomethyl)tetramethyldisiloxane",,"C<sub>6</sub>H<sub>16</sub>Br<sub>2</sub>OSi<sub>2</sub>","2351-13-5",1071520,"320.169",,,233,"103<sup>15</sup>","1.3918<sup>25</sup>","1.4719<sup>25</sup>",,,,
918,"Bis(4-bromophenyl) ether",,"C<sub>12</sub>H<sub>8</sub>Br<sub>2</sub>O","2050-47-7",2050738,"327.999","lf (al)","54(1)",339,,"1.8<sup>25</sup>",,,,"i H<sub>2</sub>O; s EtOH, bz; vs eth; sl chl",
919,"Bis(2-(2-butoxyethoxy)ethyl) hexanedioate","Bis(2-(2-butoxyethoxy)ethyl) adipate","C<sub>22</sub>H<sub>42</sub>O<sub>8</sub>","141-17-3",,"434.563","liq",,,,"1.1<sup>25</sup>",,,,,
920,"Bis(2-butoxyethyl) phthalate","1,2-Benzenedicarboxylic acid, bis(2-butoxyethyl) ester","C<sub>20</sub>H<sub>30</sub>O<sub>6</sub>","117-83-9",2006754,"366.448",,,"409(18)",,,,,,,
921,"1,4-Bis(α-(<i>tert</i>-butyldioxy)isopropyl)benzene",,"C<sub>20</sub>H<sub>34</sub>O<sub>4</sub>","2781-00-2",,"338.482","cry",79,,,,,,,,
922,"Bis(3-<i>tert</i>-butyl-5-ethyl-2-hydroxyphenyl)methane",,"C<sub>25</sub>H<sub>36</sub>O<sub>2</sub>","88-24-4",2016207,"368.553","cry",123,,,,,,,,
923,"Bis(4-chlorobenzoyl) peroxide",,"C<sub>14</sub>H<sub>8</sub>Cl<sub>2</sub>O<sub>4</sub>","94-17-7",,"311.118","pr cry (bz)",141,,,,,,,,
924,"1,2-Bis(2-chloroethoxy)ethane",,"C<sub>6</sub>H<sub>12</sub>Cl<sub>2</sub>O<sub>2</sub>","112-26-5",506177,"187.064",,,"214(18)",,"1.195<sup>20</sup>","1.4592<sup>25</sup>",,,"s ctc",
925,"Bis(2-chloroethoxy)methane",,"C<sub>5</sub>H<sub>10</sub>Cl<sub>2</sub>O<sub>2</sub>","111-91-1",,"173.037",,,"216(3)",,,,,,,
926,"<i>N,N</i>-Bis(2-chloroethyl)aniline","Aniline mustard","C<sub>10</sub>H<sub>13</sub>Cl<sub>2</sub>N","553-27-5",,"218.123","pr",45,,"164<sup>14</sup>",,,,,"sl eth; s EtOH, MeOH",
927,"Bis(2-chloroethyl) carbonate",,"C<sub>5</sub>H<sub>8</sub>Cl<sub>2</sub>O<sub>3</sub>","623-97-2",1762279,"187.021",,8,241,,"1.3506<sup>20</sup>","1.461<sup>20</sup>",,,"i H<sub>2</sub>O",
928,"Bis(2-chloroethyl) 2-chloroethylphosphonate",,"C<sub>6</sub>H<sub>12</sub>Cl<sub>3</sub>O<sub>3</sub>P","6294-34-4",1782126,"269.490",,,,"170.2<sup>5</sup>",,"1.488<sup>25</sup>",,,,
929,"Bis(2-chloroethyl) ether","Dichloroethyl ether","C<sub>4</sub>H<sub>8</sub>Cl<sub>2</sub>O","111-44-4",605317,"143.012","liq","-46.9(5)","178(2)",,"1.22<sup>20</sup>","1.451<sup>20</sup>","10.5<sup>20</sup>","0.143","i H<sub>2</sub>O; s EtOH, eth, ace; msc bz",
