Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
601,"Benzeneboronic acid",,"C<sub>6</sub>H<sub>7</sub>BO<sub>2</sub>","98-80-6",970972,"121.930",,219,,,,,,,"sl H<sub>2</sub>O; s EtOH, eth, bz",
602,"Benzenebutanoic acid","4-Phenylbutanoic acid","C<sub>10</sub>H<sub>12</sub>O<sub>2</sub>","1821-12-1",638180,"164.201","lf (w)","51(1)","296(2)",,,,,,"s H<sub>2</sub>O, EtOH, eth",
603,"Benzenebutanol","4-Phenyl-1-butanol","C<sub>10</sub>H<sub>14</sub>O","3360-41-6",2042122,"150.217",,,"264(3)","140<sup>14</sup>",,"1.5214<sup>20</sup>",,,,
604,"Benzenecarboperoxoic acid","Perbenzoic acid","C<sub>7</sub>H<sub>6</sub>O<sub>3</sub>","93-59-4",1210120,"138.121","mcl pl (peth)",42,,"100<sup>14</sup>",,,,,"vs ace, bz, eth, EtOH",
605,"Benzenecarbothioamide",,"C<sub>7</sub>H<sub>7</sub>NS","2227-79-4",606021,"137.203",,117,,,,,,,,
606,"Benzenecarbothioic acid",,"C<sub>7</sub>H<sub>6</sub>OS","98-91-9",1071790,"138.187","ye pl (HOAc)",24,,"86<sup>10</sup>","1.28<sup>20</sup>","1.6040<sup>20</sup>",,,"vs ace, bz, eth, EtOH",
607,"Benzenecarboximidamide, monohydrochloride",,"C<sub>7</sub>H<sub>9</sub>ClN<sub>2</sub>","1670-14-0",3594959,"156.612","orth pr (w +2)",169,,,,,,,"s H<sub>2</sub>O, EtOH; sl tfa",
608,"1,2-Benzenediamine","<i>o</i>-Phenylenediamine","C<sub>6</sub>H<sub>8</sub>N<sub>2</sub>","95-54-5",606074,"108.141","brsh ye lf (w) pl (chl)","103(1)","257(9)",,,,"31.1<sup>20</sup>",,"s H<sub>2</sub>O, eth, bz, chl; vs EtOH",
609,"1,3-Benzenediamine","<i>m</i>-Phenylenediamine","C<sub>6</sub>H<sub>8</sub>N<sub>2</sub>","108-45-2",471357,"108.141","orth (al)","65.5(9)","282(18)",,"1.0096<sup>58</sup>","1.6339<sup>58</sup>","36.1<sup>20</sup>",,"vs H<sub>2</sub>O; s EtOH, eth, bz",
610,"1,4-Benzenediamine","<i>p</i>-Phenylenediamine","C<sub>6</sub>H<sub>8</sub>N<sub>2</sub>","106-50-3",742029,"108.141","wh pl (bz, eth)","140.3(6)",267,,,,"35.7<sup>24</sup>",,"sl H<sub>2</sub>O; s EtOH, eth, bz, chl",
611,"1,2-Benzenediamine, dihydrochloride",,"C<sub>6</sub>H<sub>10</sub>Cl<sub>2</sub>N<sub>2</sub>","615-28-1",3912045,"181.062",,"250 dec",,,,,,,,
612,"1,3-Benzenediamine, dihydrochloride",,"C<sub>6</sub>H<sub>10</sub>Cl<sub>2</sub>N<sub>2</sub>","541-69-5",3911748,"181.062",,,,,,,,,"s H<sub>2</sub>O",
613,"1,4-Benzenediamine, dihydrochloride",,"C<sub>6</sub>H<sub>10</sub>Cl<sub>2</sub>N<sub>2</sub>","624-18-0",3911749,"181.062",,,,,,,,,"s H<sub>2</sub>O",
